동명,CO2 Avoided (pounds),CO2 Avoided ($),CO2 Sequestered (pounds),CO2 Sequestered ($),Electricity Saved (kWh),Electricity Saved ($),Fuel Saved (MMBtu),Fuel Saved ($),Tree Biomass (short ton),Rainfall Interception (gallons),Avoided Runoff (gallons),Avoided Runoff ($),O3 Removed (pounds),NO2 Avoided (pounds),NO2 Removed (pounds),SO2 Avoided (pounds),SO2 Removed (pounds),VOC Avoided (pounds),PM2.5 Avoided (pounds),PM2.5 Removed (pounds)
당산1동,11874372.800000045,276165.56999999273,5556955.499999972,129237.74000000046,3880655.000000013,458806.97999999917,29718.10000000063,479725.6800000052,3590.7999999999843,72171042.2000003,8832798.900000043,78929.8800000001,28628.39999999989,3756.200000000063,3257.900000000007,78187.80000000107,2536.2000000000103,365.10000000000184,1136.999999999982,1330.8000000000077
당산2동,28299665.500000328,658171.4499999819,12485423.799999906,290372.29999999783,7854414.199999762,957112.2000000031,80078.19999999822,1291824.2999999777,6473.400000000002,130925778.39999993,23902866.900000017,213596.5799999996,57896.59999999999,9326.199999999848,8291.499999999949,189020.59999999314,5332.699999999938,850.8000000000294,2065.899999999969,2696.9999999999777
대림1동,5124134.599999966,119173.56000000103,2688130.7000000025,62517.55999999982,1624635.1000000122,191340.28000000058,13030.39999999993,210450.7099999975,1224.0000000000007,31481032.80000004,3625460.199999989,32397.05000000005,12867.199999999992,1646.40000000001,1480.4999999999977,34159.50000000026,1131.5,157.89999999999816,470.5000000000038,610.900000000001
대림2동,7147136.999999987,166222.46999999866,3299686.9000000004,76740.44000000002,1955594.6000000257,235583.99,19379.300000000057,310668.1899999977,1618.9999999999989,35858974.60000005,5857655.0,52343.70999999999,15643.800000000003,2354.0000000000127,2130.1000000000045,48228.30000000047,1434.3,215.79999999999788,537.2000000000035,752.1999999999985
대림3동,19347182.100000117,449961.7699999892,8094495.199999929,188252.93999999788,5043027.999999889,604427.7800000017,52503.70000000002,850284.469999979,3914.8000000000056,85543830.39999965,15704874.000000026,140339.0599999991,38789.80000000026,6642.699999999959,5546.399999999976,136223.69999999902,3622.3999999999737,562.5000000000169,1356.2999999999813,1809.1999999999928
도림동,3719230.9999999725,86498.97000000019,2027966.200000009,47163.89999999979,1274189.3000000052,153385.43000000002,9139.79999999993,147387.44000000044,1064.1000000000035,23962789.599999987,2868869.7999999984,25636.119999999933,9340.499999999998,1158.899999999998,1050.7999999999927,24077.500000000062,833.300000000003,130.69999999999908,379.50000000000136,430.1000000000013
문래동,28841811.60000004,670779.5999999844,12783156.699999845,297296.550000001,8019480.799999651,963111.4200000003,76878.39999999838,1240008.61999997,7768.599999999979,141331220.99999928,23879101.600000046,213382.5700000013,60502.90000000032,9603.999999999836,8190.7000000000035,197457.39999999324,5597.999999999942,857.4000000000364,2209.9999999999554,2824.3
신길1동,5868929.999999976,136495.01,2224767.400000001,51741.10999999979,2013159.4000000127,235240.85000000114,14730.000000000007,237335.33999999985,2088.200000000003,33482630.09999996,4946728.29999998,44203.879999999845,12444.599999999964,1822.6999999999941,1438.8999999999949,37674.49999999998,1100.600000000001,181.8999999999986,572.5000000000017,540.400000000002
신길3동,7519842.799999913,174891.75999999896,4268660.800000006,99276.18999999967,2832138.300000032,327207.0799999987,17877.599999999853,287401.5499999958,2518.5000000000005,56297976.800000064,5240300.29999996,46827.26000000019,21124.89999999997,2242.0000000000286,2055.699999999997,46992.30000000085,1774.9000000000008,234.1999999999965,842.199999999993,987.1999999999987
신길4동,1167955.8000000033,27163.620000000043,623777.2999999997,14507.280000000004,651193.199999999,69397.32999999991,2748.700000000006,44007.91000000007,330.50000000000034,10576231.400000006,480872.4999999994,4297.029999999994,3820.1000000000035,290.0000000000006,311.3000000000002,5717.500000000012,277.9999999999996,37.90000000000011,167.99999999999974,167.7000000000002
신길5동,5966889.299999955,138773.83000000095,3262194.0000000126,75868.47999999941,2128400.9000000223,249431.87000000037,14603.099999999937,235499.74999999886,1805.0999999999979,44882142.50000018,3896957.299999989,34823.06999999995,16790.39999999995,1807.4000000000017,1647.0999999999974,37532.20000000028,1435.6000000000026,180.39999999999762,629.5000000000013,777.4999999999959
신길6동,12826517.400000123,298309.4699999936,5221947.899999997,121446.24999999952,3648011.0999999936,432939.74000000133,33614.3000000004,544502.390000005,2556.3999999999965,59520353.69999996,8627207.199999968,77092.55999999963,24973.899999999856,4292.000000000077,3154.000000000001,88692.50000000035,2269.6000000000063,376.30000000000626,1023.3999999999946,1164.999999999993
신길7동,6813568.200000002,158464.63999999955,2465298.899999998,57335.26999999974,2030244.100000013,245683.4000000007,18453.100000000002,295504.35,2092.1999999999985,37829931.6,6965880.399999993,62247.029999999904,14348.399999999945,2178.7000000000035,1892.0999999999965,44081.70000000034,1329.9000000000008,213.3999999999988,546.9000000000011,626.4999999999993
양평1동,15275947.900000215,355276.5399999933,6599434.299999912,153482.47999999937,4411689.399999977,524061.6700000027,39708.000000000466,643209.3999999992,5068.499999999997,79910680.49999988,12147450.300000062,108549.83000000025,33663.20000000006,5089.2000000000335,4287.400000000022,105423.30000000098,3065.199999999989,449.6000000000103,1253.099999999978,1560.9000000000078
양평2동,33727942.00000006,784416.8799999732,15312301.999999966,356116.9100000004,8599972.999999652,1068916.5500000075,97380.6999999961,1568558.209999982,8337.100000000102,144757243.00000024,31988707.299999792,285851.7799999981,66089.80000000035,11296.499999999747,10381.499999999904,228495.39999998928,6307.09999999994,997.9000000000352,2218.3999999999724,3066.0000000000205
여의동,85499974.7999989,1988497.1200000509,24145047.79999987,561540.3700000343,31585323.400001574,3526619.0000002924,227492.3999999998,3655664.5899999323,25453.900000000274,473940138.1000068,42205507.100000195,377146.3799999824,178348.10000000714,26292.999999998767,18438.899999999943,527561.8000000054,13930.399999999456,2692.1999999997956,8044.000000000392,7674.799999999752
영등포동,20943526.8000002,487088.1599999882,8660408.19999989,201414.2799999984,5213124.799999895,630636.870000005,57793.39999999976,936990.2499999802,4499.100000000013,87252576.99999954,18997427.200000033,169761.64999999982,40551.70000000052,7279.800000000026,6213.699999999996,148757.99999999866,3884.8999999999537,609.6000000000158,1382.399999999984,1866.9000000000015
영등포본동,10319007.399999987,239990.99999999622,4208276.2,97871.07999999978,3614425.7000000067,399121.25999999687,30202.700000000375,483771.8500000049,2443.3999999999946,47780523.2000002,7593424.899999993,67854.85000000015,21007.299999999956,3277.600000000027,2963.000000000013,63284.100000000915,1693.5000000000007,341.6000000000025,777.3999999999932,927.900000000002
